"lit_prev","crates","cluster","LP","pig_prev"
"364",0.31011,80,0.63,"ALP",0.3
"365",0.3599925,80,0.63,"ALP",0.35
"366",0.409605,80,0.63,"ALP",0.4
"367",0.45963,80,0.63,"ALP",0.45
"368",0.50955,80,0.63,"ALP",0.5
"369",0.55943,80,0.63,"ALP",0.55
"370",0.6092,80,0.63,"ALP",0.6
"371",0.658605,80,0.63,"ALP",0.65
"372",0.709095,80,0.63,"ALP",0.7
"373",0.7589375,80,0.63,"ALP",0.75
"374",0.8086175,80,0.63,"ALP",0.8
"375",0.858025,80,0.63,"ALP",0.85
"376",0.9077225,80,0.63,"ALP",0.9
"377",0.956965,80,0.63,"ALP",0.95
"378",1,80,0.63,"ALP",1
"379",0.0179325,80,0.8,"ALP",0.01
"380",0.057845,80,0.8,"ALP",0.05
"381",0.107935,80,0.8,"ALP",0.1
"382",0.1574625,80,0.8,"ALP",0.15
"383",0.2072625,80,0.8,"ALP",0.2
"384",0.25725,80,0.8,"ALP",0.25
"385",0.3067975,80,0.8,"ALP",0.3
"386",0.356965,80,0.8,"ALP",0.35
"387",0.406535,80,0.8,"ALP",0.4
"388",0.456375,80,0.8,"ALP",0.45
"389",0.5063075,80,0.8,"ALP",0.5
"390",0.5566175,80,0.8,"ALP",0.55
"391",0.60631,80,0.8,"ALP",0.6
"392",0.6559475,80,0.8,"ALP",0.65
"393",0.705445,80,0.8,"ALP",0.7
"394",0.75557,80,0.8,"ALP",0.75
"395",0.805195,80,0.8,"ALP",0.8
"396",0.85545,80,0.8,"ALP",0.85
"397",0.905225,80,0.8,"ALP",0.9
"398",0.9545875,80,0.8,"ALP",0.95
"399",1,80,0.8,"ALP",1
"400",0.0152325,80,1,"ALP",0.01
"401",0.0557,80,1,"ALP",0.05
"402",0.1056875,80,1,"ALP",0.1
"403",0.1556,80,1,"ALP",0.15
"404",0.20563,80,1,"ALP",0.2
"405",0.2554125,80,1,"ALP",0.25
"406",0.3052375,80,1,"ALP",0.3
"407",0.3545625,80,1,"ALP",0.35
"408",0.4048725,80,1,"ALP",0.4
"409",0.4550475,80,1,"ALP",0.45
"410",0.504535,80,1,"ALP",0.5
"411",0.554185,80,1,"ALP",0.55
"412",0.6043675,80,1,"ALP",0.6
"413",0.653795,80,1,"ALP",0.65
"414",0.70426,80,1,"ALP",0.7
"415",0.753825,80,1,"ALP",0.75
"416",0.803395,80,1,"ALP",0.8
"417",0.853805,80,1,"ALP",0.85
"418",0.9033825,80,1,"ALP",0.9
"419",0.953065,80,1,"ALP",0.95
"420",1,80,1,"ALP",1
"421",0.00751764705882353,102,0.01,"ALP",0.01
"422",0.056343137254902,102,0.01,"ALP",0.05
"423",0.159770588235294,102,0.01,"ALP",0.1
"424",0.280052941176471,102,0.01,"ALP",0.15
"425",0.394354901960784,102,0.01,"ALP",0.2
"426",0.49326862745098,102,0.01,"ALP",0.25
"427",0.579160784313726,102,0.01,"ALP",0.3
"428",0.650990196078431,102,0.01,"ALP",0.35
"429",0.710209803921569,102,0.01,"ALP",0.4
"430",0.762398039215686,102,0.01,"ALP",0.45
"431",0.807937254901961,102,0.01,"ALP",0.5
"432",0.846264705882353,102,0.01,"ALP",0.55
"433",0.880564705882353,102,0.01,"ALP",0.6
"434",0.909192156862745,102,0.01,"ALP",0.65
"435",0.935398039215686,102,0.01,"ALP",0.7
"436",0.957052941176471,102,0.01,"ALP",0.75
"437",0.973923529411765,102,0.01,"ALP",0.8
"438",0.986366666666667,102,0.01,"ALP",0.85
"439",0.994662745098039,102,0.01,"ALP",0.9
"440",0.99888431372549,102,0.01,"ALP",0.95
"441",0.999858823529412,102,0.01,"ALP",1
"442",0.0177470588235294,102,0.2,"ALP",0.01
"443",0.0797117647058824,102,0.2,"ALP",0.05
"444",0.130396078431373,102,0.2,"ALP",0.1
"445",0.179835294117647,102,0.2,"ALP",0.15
"446",0.230096078431373,102,0.2,"ALP",0.2
"447",0.279211764705882,102,0.2,"ALP",0.25
"448",0.329303921568627,102,0.2,"ALP",0.3
"449",0.378937254901961,102,0.2,"ALP",0.35
"450",0.428909803921569,102,0.2,"ALP",0.4
"451",0.478339215686275,102,0.2,"ALP",0.45
"452",0.52773137254902,102,0.2,"ALP",0.5
"453",0.578129411764706,102,0.2,"ALP",0.55
"454",0.627325490196078,102,0.2,"ALP",0.6
"455",0.676719607843137,102,0.2,"ALP",0.65
"456",0.726329411764706,102,0.2,"ALP",0.7
"457",0.775621568627451,102,0.2,"ALP",0.75
"458",0.824925490196078,102,0.2,"ALP",0.8
"459",0.873986274509804,102,0.2,"ALP",0.85
"460",0.922101960784314,102,0.2,"ALP",0.9
"461",0.969180392156863,102,0.2,"ALP",0.95
"462",1,102,0.2,"ALP",1
"463",0.0188745098039216,102,0.63,"ALP",0.01
"464",0.0593058823529412,102,0.63,"ALP",0.05
"465",0.108523529411765,102,0.63,"ALP",0.1
"466",0.158682352941176,102,0.63,"ALP",0.15
"467",0.20893137254902,102,0.63,"ALP",0.2
"468",0.258541176470588,102,0.63,"ALP",0.25
"469",0.308276470588235,102,0.63,"ALP",0.3
"470",0.357929411764706,102,0.63,"ALP",0.35
"471",0.407998039215686,102,0.63,"ALP",0.4
"472",0.458256862745098,102,0.63,"ALP",0.45
"473",0.50766862745098,102,0.63,"ALP",0.5
"474",0.557558823529412,102,0.63,"ALP",0.55
"475",0.608123529411765,102,0.63,"ALP",0.6
"476",0.657121568627451,102,0.63,"ALP",0.65
"477",0.707196078431373,102,0.63,"ALP",0.7
"478",0.757086274509804,102,0.63,"ALP",0.75
"479",0.806572549019608,102,0.63,"ALP",0.8
"480",0.856705882352941,102,0.63,"ALP",0.85
"481",0.906333333333333,102,0.63,"ALP",0.9
"482",0.955562745098039,102,0.63,"ALP",0.95
"483",1,102,0.63,"ALP",1
"484",0.0162137254901961,102,0.8,"ALP",0.01
"485",0.0565862745098039,102,0.8,"ALP",0.05
"486",0.106152941176471,102,0.8,"ALP",0.1
"487",0.156464705882353,102,0.8,"ALP",0.15
"488",0.206239215686275,102,0.8,"ALP",0.2
"489",0.25586862745098,102,0.8,"ALP",0.25
"490",0.305607843137255,102,0.8,"ALP",0.3
"491",0.355825490196078,102,0.8,"ALP",0.35
"492",0.405711764705882,102,0.8,"ALP",0.4
"493",0.455470588235294,102,0.8,"ALP",0.45
"494",0.505160784313725,102,0.8,"ALP",0.5
"495",0.555003921568627,102,0.8,"ALP",0.55
"496",0.605127450980392,102,0.8,"ALP",0.6
"497",0.654950980392157,102,0.8,"ALP",0.65
"498",0.70481568627451,102,0.8,"ALP",0.7
"499",0.754782352941176,102,0.8,"ALP",0.75
"500",0.8046,102,0.8,"ALP",0.8
"501",0.854378431372549,102,0.8,"ALP",0.85
"502",0.904182352941176,102,0.8,"ALP",0.9
"503",0.953666666666667,102,0.8,"ALP",0.95
"504",1,102,0.8,"ALP",1
"505",0.0137254901960784,102,1,"ALP",0.01
"506",0.0549921568627451,102,1,"ALP",0.05
"507",0.104892156862745,102,1,"ALP",0.1
"508",0.15503137254902,102,1,"ALP",0.15
"509",0.20456862745098,102,1,"ALP",0.2
"510",0.254549019607843,102,1,"ALP",0.25
"511",0.304429411764706,102,1,"ALP",0.3
"512",0.3544,102,1,"ALP",0.35
"513",0.404080392156863,102,1,"ALP",0.4
"514",0.453676470588235,102,1,"ALP",0.45
"515",0.503480392156863,102,1,"ALP",0.5
"516",0.553972549019608,102,1,"ALP",0.55
"517",0.603213725490196,102,1,"ALP",0.6
"518",0.653656862745098,102,1,"ALP",0.65
"519",0.703272549019608,102,1,"ALP",0.7
"520",0.752888235294118,102,1,"ALP",0.75
"521",0.803101960784314,102,1,"ALP",0.8
"522",0.852619607843137,102,1,"ALP",0.85
"523",0.902739215686274,102,1,"ALP",0.9
"524",0.95248431372549,102,1,"ALP",0.95
"525",1,102,1,"ALP",1
"526",0.00558,10,0.01,"ALP",0.01
"527",0.04488,10,0.01,"ALP",0.05
"528",0.13868,10,0.01,"ALP",0.1
"529",0.26932,10,0.01,"ALP",0.15
"530",0.40776,10,0.01,"ALP",0.2
"531",0.5353,10,0.01,"ALP",0.25
"532",0.6508,10,0.01,"ALP",0.3
"533",0.7428,10,0.01,"ALP",0.35
"534",0.81134,10,0.01,"ALP",0.4
"535",0.86422,10,0.01,"ALP",0.45
"536",0.90502,10,0.01,"ALP",0.5
"537",0.93332,10,0.01,"ALP",0.55
"538",0.95538,10,0.01,"ALP",0.6
"539",0.96864,10,0.01,"ALP",0.65
"540",0.98054,10,0.01,"ALP",0.7
"541",0.98752,10,0.01,"ALP",0.75
"542",0.99298,10,0.01,"ALP",0.8
"543",0.9957,10,0.01,"ALP",0.85
"544",0.99728,10,0.01,"ALP",0.9
"545",0.99834,10,0.01,"ALP",0.95
"546",0.99904,10,0.01,"ALP",1
"547",0.0063,10,0.2,"ALP",0.01
"548",0.06558,10,0.2,"ALP",0.05
"549",0.17974,10,0.2,"ALP",0.1
"550",0.28512,10,0.2,"ALP",0.15
"551",0.37278,10,0.2,"ALP",0.2
"552",0.43826,10,0.2,"ALP",0.25
"553",0.49932,10,0.2,"ALP",0.3
"554",0.552,10,0.2,"ALP",0.35
"555",0.60248,10,0.2,"ALP",0.4
"556",0.6496,10,0.2,"ALP",0.45
"557",0.6976,10,0.2,"ALP",0.5
"558",0.74166,10,0.2,"ALP",0.55
"559",0.78538,10,0.2,"ALP",0.6
"560",0.83072,10,0.2,"ALP",0.65
"561",0.87044,10,0.2,"ALP",0.7
"562",0.90836,10,0.2,"ALP",0.75
"563",0.94024,10,0.2,"ALP",0.8
"564",0.97018,10,0.2,"ALP",0.85
"565",0.98934,10,0.2,"ALP",0.9
"566",0.99932,10,0.2,"ALP",0.95
"567",0.99998,10,0.2,"ALP",1
"568",0.00692,10,0.63,"ALP",0.01
"569",0.10458,10,0.63,"ALP",0.05
"570",0.16446,10,0.63,"ALP",0.1
"571",0.21688,10,0.63,"ALP",0.15
"572",0.26466,10,0.63,"ALP",0.2
"573",0.31342,10,0.63,"ALP",0.25
"574",0.36278,10,0.63,"ALP",0.3
"575",0.41414,10,0.63,"ALP",0.35
"576",0.46202,10,0.63,"ALP",0.4
"577",0.5122,10,0.63,"ALP",0.45
"578",0.55898,10,0.63,"ALP",0.5
"579",0.60782,10,0.63,"ALP",0.55
"580",0.65682,10,0.63,"ALP",0.6
"581",0.7067,10,0.63,"ALP",0.65
"582",0.7542,10,0.63,"ALP",0.7
